Race,Points/Retirement,Car,Laps,H1,Driver,Pos,N,H2,Score,Grid,Speed/Retirement,H3,Time/Retirement,Nat.,T
50,,Ferrari,67,,Luigi Villoresi,1,,,,1,,,2h 25m 36.0s 1st in F1,It,
50,,Ferrari,67,,Chico Landi,2,,,,3,,,+ 10.0s 2nd in F1,Brz,
50,,Cooper-Bristol,67,,Mike Hawthorn,3,,,,6,,,+ 1m 06.0s 1st in F2,GB,
50,,Cooper-Bristol,66,,Alan Brown,4,,,,13,,,+ 1 lap 2nd in F2,GB,
50,,ERA-Bristol,66,,Stirling Moss,5,,,,10,,,+ 1 lap 3rd in F2,GB,
50,,Talbot Lago,66,,Philippe Étancelin,6,,,,7,,,+ 1 lap 3rd in F1,Fr,
50,,Ferrari,66,,Louis Rosier,7,,,,5,,,+ 1 lap 4th in F1,Fr,
50,,Ferrari,65,,Bobby Baird,8,,,,?,,,+ 2 laps 4th in F2,GB,
50,,Cooper-Bristol,64,,Eric Brandon,9,,,,?,,,+ 3 laps 5th in F2,GB,
50,,Talbot Lago,63,,Albert Crespo,10,,,,12,,,+ 4 laps 5th in F1,Arg,
50,,Ferrari,63,,Peter Whitehead,11,,,,?,,,+ 4 laps 6th in F2,GB,
50,,Talbot Lago,62,,Yves Giraud-Cabantous,12,,,,9,,,+ 5 laps 6th in F1,Fr,
50,,Ferrari,62,,Ninian Sanderson,13,,,,?,,,+ 5 laps 7th in F1,GB,
50,,Alta,62,,Joe Kelly,14,,,,?,,,+ 5 laps 8th in F1,Ire,
50,,Connaught-Lea Francis,62,,Dennis Poore,15,,,,8,,,+ 5 laps 7th in F2,GB,
50,,BRM,61,,Ken Wharton,R,,,,4,,,Gearbox,GB,
50,,Ferrari,61,,Franco Cortese,16,,,,?,,,+ 6 laps 8th in F2,It,
50,,Connaught-Lea Francis,60,,Ken Downing,17,,,,11,,,+ 7 laps 9th in F2,GB,
50,,Ferrari,60,,Bill Dobson,18,,,,?,,,+ 7 laps 9 t h in F1,GB,
50,,Talbot Lago,60,,Eugene Chaboud,19,,,,15,,,+ 7 laps 10th in F1,Fr,
50,,Rover,59,,Spencer King,20,,,,?,,,+ 8 laps 10th in F2,GB,
50,,Cooper-Bristol,59,,Archie Bryde,21,,,,?,,,+ 8 laps 11th in F2,GB,
50,,Alta,52,,Oliver Simpson,R,,,,?,,,?,GB,
50,,Talbot Lago,41,,Pierre Levegh,R,,,,?,,,?,Fr,
50,,BMW,37,,Ron Willis,R,,,,14,,,?,GB,
50,,Cooper-Bristol,30,,André Loens,R,,,,?,,,Mechanical,Fr,
50,,Maserati,?,,John James,R,,,,?,,,?,GB,
50,,Alvis,?,,Gerry Dunham,R,,,,?,,,?,GB,
50,,HAR-Riley,?,,Horace Richards,R,,,,?,,,?,GB,
50,,Maserati -Platé,?,,Harry Schell,R,,,,?,,,?,USA,
50,,Maserati-Platé,?,,Emmanuel de Graffenried,R,,,,?,,,?,Swz,
50,,Cooper-Bristol,15,,John Barber,R,,,,?,,,?,GB,
50,,ERA,7,,Graham Whitehead,R,,,,?,,,?,GB,
50,,BRM,3,,José Froilán Gonzalez,R,,,,2,,,Accident,Arg,
50,,Ferrari,-,,David Murray,DNS,,,,-,,,Sanderson drove,GB,
50,,Maserati,-,,Tony Crook,DNA,,,,-,,,Did Not Arrive,GB,
50,,Baird-Maserati,-,,David Griffin,DNA,,,,-,,,Did Not Arrive,GB,
50,,HWM-Jaguar,-,,Oscar Moore,DNA,,,,-,,,Did Not Arrive,GB,
51,,Ferrari,12,,José Froilán González,1,,,,,,,19m 35.0s,Arg,
51,,Cooper-Bristol,12,,Mike Hawthorn,2,,,,,,,+ 26.0s,GB,
51,,Talbot Lago,12,,Duncan Hamilton,3,,,,,,,+ 33.1s,GB,
51,,HWM-Alta,12,,George Abecassis,4,,,,,,,+ 40.3s,GB,
51,,ERA,12,,Graham Whitehead,5,,,,,,,+ 57.1s,GB,
51,,Cooper-Bristol,11,,Eric Brandon,6,,,,,,,+ 1 lap,GB,
51,,Maserati,11,,John James,7,,,,,,,+ 1 lap,GB,
