1,1946 René le Bègue Cup,1946-06-09,1,2
2,1946 Nations Grand Prix – heat 1,1946-07-20,1,1
3,1946 Nations Grand Prix – heat 2,1946-07-20,1,1
4,1946 Nations Grand Prix – final,1946-07-21,1,2
5,1946 Turin Grand Prix,1946-09-01,1,2
6,1947 Swiss GP – heat 1,1947-06-07,1,1
7,1947 Swiss GP – heat 2,1947-06-07,1,1
8,1947 Swiss GP – final,1947-06-08,1,2
9,1947 Belgian GP – grid,1947-06-28,1,1
10,1947 Belgian GP,1947-06-29,1,2
11,1947 Italian GP – qualifying,1947-09-06,1,1
12,1947 Italian GP,1947-09-07,1,2
13,1947 French GP – grid,1947-09-20,1,1
14,1947 French GP,1947-09-21,1,2
15,1948 Monaco GP – grid,1948-05-15,1,1
16,1948 Monaco GP,1948-05-16,1,2
17,1948 Swiss GP – grid,1948-07-03,1,1
18,1948 Swiss GP,1948-07-04,1,2
19,1948 French GP – grid,1948-07-17,1,1
20,1948 French GP,1948-07-18,1,2
21,1948 Italian GP – grid,1948-09-04,1,1
22,1948 Italian GP,1948-09-05,1,2
23,1948 British GP – qualifying,1948-10-01,1,1
24,1948 British GP,1948-10-02,1,2
25,1949 British GP – qualifying,1949-05-14,1,1
26,1949 British GP,1949-05-15,1,2
27,1949 Belgian GP – grid,1949-06-18,1,1
28,1949 Belgian GP,1949-06-19,1,2
29,1949 Swiss GP – grid,1949-07-02,1,1
30,1949 Swiss GP,1949-07-03,1,2
31,1949 French GP – grid,1949-07-16,1,1
32,1949 French GP,1949-07-17,1,2
33,1949 Italian GP – qualifying,1949-09-10,1,1
34,1949 Italian GP,1949-09-11,1,2
35,1950 Pau Grand Prix – grid,1950-04-09,1,1
36,1950 Richmond Trophy – grid,1950-04-09,1,1
37,1950 Pau Grand Prix,1950-04-10,1,2
38,1950 Richmond Trophy,1950-04-10,1,2
39,1950 San Remo Grand Prix – grid,1950-04-15,1,1
40,1950 San Remo Grand Prix,1950-04-16,1,2
41,1950 Paris Grand Prix,1950-04-30,1,2
42,1950 British Grand Prix – Qualifying,1950-05-12,1,3
43,1950 British Grand Prix,1950-05-13,1,4
44,1950 Monaco Grand Prix – Qualifying,1950-05-20,1,3
45,1950 Monaco Grand Prix,1950-05-21,1,4
46,1950 Swiss Grand Prix – Qualifying,1950-06-03,1,3
47,1950 Swiss Grand Prix,1950-06-04,1,4
48,1950 British Empire Trophy – grid,1950-06-14,1,1
49,1950 British Empire Trophy,1950-06-15,1,2
50,1950 Belgian Grand Prix – Qualifying,1950-06-17,1,3
51,1950 Belgian Grand Prix,1950-06-18,1,4
52,1950 French Grand Prix – Qualifying,1950-07-01,1,3
53,1950 French Grand Prix,1950-07-02,1,4
54,1950 Jersey Road Race – grid,1950-07-08,1,1
55,1950 Bari Grand Prix,1950-07-09,1,2
56,1950 Jersey Road Race,1950-07-09,1,2
57,1950 Albi Grand Prix – qualifying,1950-07-15,1,1
58,1950 Albi Grand Prix,1950-07-16,1,2
59,1950 Dutch Grand Prix,1950-07-23,1,2
60,1950 Nations Grand Prix – qualifying,1950-07-29,1,1
61,1950 Nations Grand Prix,1950-07-30,1,2
