Race,Pos,Nat.,Driver,
0,1,It,Giuseppe Farina,1
0,2,GB,Mike Hawthorn,2
0,3,Fr,Philippe Étancelin,3
0,4,USA,Harry Schell,3
0,5,Fr,Pierre Levegh,4
0,6,Fr,Georges Grignard,4
0,7,Fr,Louis Rosier,4
0,8,GB,Bob Gerard,4
0,9,GB,John Lyons,5
0,10,GB,Stirling Moss,6
0,R,Fr,Maurice Trintignant,0
0,R,Bel,Johnny Claes,0
0,R,Fr,Jean Behra,0
0,R,Fr,Yves Giraud-Cabantous,0
0,R,Fr,Élie Bayol,0
0,DNS,Swz,Ottorino Volonterio,0
100,1,It,Giuseppe Farina,1
100,2,GB,Mike Hawthorn,2
100,10,Fr,Philippe Étancelin,10
100,7,USA,Harry Schell,7
100,11,Fr,Pierre Levegh,11
100,9,Fr,Georges Grignard,9
100,4,Fr,Louis Rosier,4
100,14,GB,Bob Gerard,14
100,8,GB,John Lyons,8
100,12,GB,Stirling Moss,12
100,3,Fr,Maurice Trintignant,3
100,15,Bel,Johnny Claes,15
100,5,Fr,Jean Behra,5
100,13,Fr,Yves Giraud-Cabantous,13
100,6,Fr,Élie Bayol,6
100,16,Swz,Ottorino Volonterio,16
1,1,It,Alberto Ascari,1
1,2,It,Luigi Villoresi,2
1,3,Arg,José Froilán Gonzalez,2
1,4,GB,Mike Hawthorn,2
1,5,It,Óscar Gálvez,2
1,6,Fr,Jean Behra,3
1,7,Fr USA,Maurice Trintignant Harry Schell,4
1,8,GB,John Barber,5
1,9,GB,Alan Brown,6
1,R,Fr,Robert Manzon,0
1,R,Arg,Juan Manuel Fangio,0
1,R,It,Felice Bonetto,0
1,R,It,Giuseppe Farina,7
1,R,Arg,Carlos Menditéguy,0
1,R,Arg,Pablos Birger,0
1,R,Arg,Adolfo Schewelm Cruz,0
101,1,It,Alberto Ascari,1
101,3,It,Luigi Villoresi,3
101,5,Arg,José Froilán Gonzalez,5
101,6,GB,Mike Hawthorn,6
101,9,It,Óscar Gálvez,9
101,11,Fr,Jean Behra,11
101,7,Fr USA,Maurice Trintignant Harry Schell,7
101,16,GB,John Barber,16
101,12,GB,Alan Brown,12
101,8,Fr,Robert Manzon,8
101,2,Arg,Juan Manuel Fangio,2
101,15,It,Felice Bonetto,15
101,4,It,Giuseppe Farina,4
101,10,Arg,Carlos Menditéguy,10
101,14,Arg,Pablos Birger,14
101,13,Arg,Adolfo Schewelm Cruz,13
2,1,It,Alberto Ascari,1
2,2,It,Giuseppe Farina,2
2,3,It Arg,Felice Bonetto José Froilán Gonzalez,3
2,4,GB,Mike Hawthorn,3
2,5,Swz,Emmanuel de Graffenried,4
2,6,Fr,Maurice Trintignant,5
2,7,Fr,Louis Rosier,6
2,8,GB,Peter Collins,7
2,9,GB,Stirling Moss,8
2,R,It,Luigi Villoresi,0
2,R,GB,Ken McAlpine,0
2,R,USA,Harry Schell,0
2,NC,Bel,Johnny Claes,9
2,R,Arg,Juan Manuel Fangio,0
2,R,Arg,Roberto Mieres,0
2,R,Arg,José Froilán Gonzalez,0
2,R,GB,Ken Wharton,0
2,R,GB,Roy Salvadori,0
2,R,GB,Lance Macklin,0
2,DNS,USA,Fred Wacker,0
102,1,It,Alberto Ascari,1
102,3,It,Giuseppe Farina,3
102,13,It Arg,Felice Bonetto José Froilán Gonzalez,13
102,6,GB,Mike Hawthorn,6
102,7,Swz,Emmanuel de Graffenried,7
102,12,Fr,Maurice Trintignant,12
102,8,Fr,Louis Rosier,8
102,16,GB,Peter Collins,16
102,9,GB,Stirling Moss,9
102,4,It,Luigi Villoresi,4
102,14,GB,Ken McAlpine,14
102,10,USA,Harry Schell,10
102,17,Bel,Johnny Claes,17
102,2,Arg,Juan Manuel Fangio,2
102,19,Arg,Roberto Mieres,19
102,5,Arg,José Froilán Gonzalez,5
102,18,GB,Ken Wharton,18
102,11,GB,Roy Salvadori,11
102,15,GB,Lance Macklin,15
102,20,USA,Fred Wacker,20
3,1,It,Alberto Ascari,1
3,2,It,Luigi Villoresi,2
3,R,Bel Arg,Johnny Claes Juan Manuel Fangio,3
3,3,Arg,Onofre Marimón,4
3,4,Swz,Emmanuel de Graffenried,4
3,5,Fr,Maurice Trintignant,4
3,6,GB,Mike Hawthorn,4
3,7,USA,Harry Schell,5
3,8,Fr,Louis Rosier,5
3,9,USA,Fred Wacker,6
3,10,Bel,Paul Frère,7
3,11,Bel,André Pilette,8
3,R,GB,Lance Macklin,0
3,R,It,Giuseppe Farina,0
3,R,Arg,Juan Manuel Fangio,0
3,R,Arg,José Froilán Gonzalez,0
3,R,Fr,Jean Behra,0
3,R,GB,Peter Collins,0
3,R,Bel,Georges Berger,0
3,R,Bel,Arthur Legat,0
103,2,It,Alberto Ascari,2
103,5,It,Luigi Villoresi,5
103,10,Bel Arg,Johnny Claes Juan Manuel Fangio,10
103,6,Arg,Onofre Marimón,6
103,9,Swz,Emmanuel de Graffenried,9
103,8,Fr,Maurice Trintignant,8
103,7,GB,Mike Hawthorn,7
103,12,USA,Harry Schell,12
103,13,Fr,Louis Rosier,13
103,15,USA,Fred Wacker,15
103,11,Bel,Paul Frère,11
103,18,Bel,André Pilette,18
103,17,GB,Lance Macklin,17
103,4,It,Giuseppe Farina,4
103,1,Arg,Juan Manuel Fangio,1
103,3,Arg,José Froilán Gonzalez,3
103,14,Fr,Jean Behra,14
103,16,GB,Peter Collins,16
103,20,Bel,Georges Berger,20
103,19,Bel,Arthur Legat,19
4,1,GB,Mike Hawthorn,1
4,2,Arg,Juan Manuel Fangio,2
4,3,Arg,José Froilán Gonzalez,2
4,4,It,Alberto Ascari,3
4,5,It,Giuseppe Farina,3
4,6,It,Luigi Villoresi,4
4,7,Swz,Emmanuel de Graffenried,5
4,8,Fr,Louis Rosier,6
4,9,Arg,Onofre Marimón,7
4,10,Fr,Jean Behra,7
4,11,GB,Bob Gerard,7
4,12,Bel,Johnny Claes,8
4,13,GB,Peter Collins,9
4,14,Fr,Yves Giraud-Cabantous,10
4,15,Mon,Louis Chiron,11
