1,1954 Argentine Grand Prix - qualifying,1954-01-16
2,1954 Belgian Grand Prix - qualifying,1954-06-19
0,1954 French Grand Prix - qualifying,1954-07-03
3,1954 British Grand Prix - qualifying,1954-07-16
4,1954 German Grand Prix - qualifying,1954-07-31
8,1954 Swiss Grand Prix - qualifying,1954-08-21
6,1954 Italian Grand Prix - qualifying,1954-09-04
7,1954 Spanish Grand Prix - qualifying,1954-10-23
9,1955 Argentine Grand Prix - qualifying,1955-01-15
15,1955 Monaco Grand Prix - qualifying,1955-05-21
10,1955 Belgian Grand Prix - qualifying,1955-06-04
12,1955 Dutch Grand Prix - qualifying,1955-06-18
11,1955 British Grand Prix - qualifying,1955-07-15
14,1955 Italian Grand Prix - qualifying,1955-09-10
17,1956 Argentine Grand Prix - qualifying,1956-01-21
23,1956 Monaco Grand Prix - qualifying,1956-05-12
18,1956 Belgian Grand Prix - qualifying,1956-06-02
16,1956 French Grand Prix - qualifying,1956-06-30
19,1956 British Grand Prix - qualifying,1956-07-13
20,1956 German Grand Prix - qualifying,1956-08-04
22,1956 Italian Grand Prix - qualifying,1956-09-01
25,1957 Argentine Grand Prix - qualifying,1957-01-12
30,1957 Monaco Grand Prix - qualifying,1957-05-18
24,1957 French Grand Prix - qualifying,1957-07-06
26,1957 British Grand Prix - qualifying,1957-07-19
27,1957 German Grand Prix - qualifying,1957-08-03
31,1957 Pescara Grand Prix - qualifying,1957-08-17
29,1957 Italian Grand Prix - qualifying,1957-09-07
33,1958 Argentine Grand Prix - qualifying,1958-01-18
40,1958 Monaco Grand Prix - qualifying,1958-05-17
36,1958 Dutch Grand Prix - qualifying,1958-05-25
34,1958 Belgian Grand Prix - qualifying,1958-06-14
32,1958 French Grand Prix - qualifying,1958-07-05
35,1958 British Grand Prix - qualifying,1958-07-18
37,1958 German Grand Prix - qualifying,1958-08-02
42,1958 Portuguese Grand Prix - qualifying,1958-08-23
39,1958 Italian Grand Prix - qualifying,1958-09-06
41,1958 Moroccan Grand Prix - qualifying,1958-10-18
49,1959 Monaco Grand Prix - qualifying,1959-05-09
45,1959 Dutch Grand Prix - qualifying,1959-05-30
43,1959 French Grand Prix - qualifying,1959-07-04
44,1959 British Grand Prix - qualifying,1959-07-17
46,1959 German Grand Prix - qualifying,1959-08-01
50,1959 Portuguese Grand Prix - qualifying,1959-08-22
48,1959 Italian Grand Prix - qualifying,1959-09-12
51,1959 United States Grand Prix - qualifying,1959-12-11
53,1960 Argentine Grand Prix - qualifying,1960-02-06
59,1960 Monaco Grand Prix - qualifying,1960-05-28
56,1960 Dutch Grand Prix - qualifying,1960-06-05
54,1960 Belgian Grand Prix - qualifying,1960-06-18
52,1960 French Grand Prix - qualifying,1960-07-02
55,1960 British Grand Prix - qualifying,1960-07-15
60,1960 Portuguese Grand Prix - qualifying,1960-08-13
58,1960 Italian Grand Prix - qualifying,1960-09-03
61,1960 United States Grand Prix - qualifying,1960-11-19
68,1961 Monaco Grand Prix - qualifying,1961-05-13
65,1961 Dutch Grand Prix - qualifying,1961-05-21
63,1961 Belgian Grand Prix - qualifying,1961-06-17
62,1961 French Grand Prix - qualifying,1961-07-01
64,1961 British Grand Prix - qualifying,1961-07-14
66,1961 German Grand Prix - qualifying,1961-08-05
67,1961 Italian Grand Prix - qualifying,1961-09-09
69,1961 United States Grand Prix - qualifying,1961-10-07
