214	1997	8	8	French Grand Prix	1997-06-29	\N	http://en.wikipedia.org/wiki/1997_French_Grand_Prix	Q: Barrichello ↔ Nakano (Barrichello's time:1:15.876)
97	2004	8	7	Canadian Grand Prix	2004-06-13	\N	http://en.wikipedia.org/wiki/2004_Canadian_Grand_Prix	
100	2004	11	9	British Grand Prix	2004-07-11	\N	http://en.wikipedia.org/wiki/2004_British_Grand_Prix	
101	2004	12	10	German Grand Prix	2004-07-25	\N	http://en.wikipedia.org/wiki/2004_German_Grand_Prix	
104	2004	15	14	Italian Grand Prix	2004-09-12	\N	http://en.wikipedia.org/wiki/2004_Italian_Grand_Prix	
105	2004	16	17	Chinese Grand Prix	2004-09-26	\N	http://en.wikipedia.org/wiki/2004_Chinese_Grand_Prix	
106	2004	17	22	Japanese Grand Prix	2004-10-10	\N	http://en.wikipedia.org/wiki/2004_Japanese_Grand_Prix	
107	2004	18	18	Brazilian Grand Prix	2004-10-24	\N	http://en.wikipedia.org/wiki/2004_Brazilian_Grand_Prix	
71	2005	1	1	Australian Grand Prix	2005-03-06	14:00:00	http://en.wikipedia.org/wiki/2005_Australian_Grand_Prix	
72	2005	2	2	Malaysian Grand Prix	2005-03-20	15:00:00	http://en.wikipedia.org/wiki/2005_Malaysian_Grand_Prix	
73	2005	3	3	Bahrain Grand Prix	2005-04-03	14:30:00	http://en.wikipedia.org/wiki/2005_Bahrain_Grand_Prix	
74	2005	4	21	San Marino Grand Prix	2005-04-24	14:00:00	http://en.wikipedia.org/wiki/2005_San_Marino_Grand_Prix	
75	2005	5	4	Spanish Grand Prix	2005-05-08	14:00:00	http://en.wikipedia.org/wiki/2005_Spanish_Grand_Prix	
80	2005	10	8	French Grand Prix	2005-07-03	14:00:00	http://en.wikipedia.org/wiki/2005_French_Grand_Prix	
81	2005	11	9	British Grand Prix	2005-07-10	14:00:00	http://en.wikipedia.org/wiki/2005_British_Grand_Prix	
82	2005	12	10	German Grand Prix	2005-07-24	14:00:00	http://en.wikipedia.org/wiki/2005_German_Grand_Prix	
84	2005	14	5	Turkish Grand Prix	2005-08-21	15:00:00	http://en.wikipedia.org/wiki/2005_Turkish_Grand_Prix	
85	2005	15	14	Italian Grand Prix	2005-09-04	14:00:00	http://en.wikipedia.org/wiki/2005_Italian_Grand_Prix	
86	2005	16	13	Belgium Grand Prix	2005-09-11	14:00:00	http://en.wikipedia.org/wiki/2005_Belgian_Grand_Prix	
87	2005	17	18	Brazilian Grand Prix	2005-09-25	14:00:00	http://en.wikipedia.org/wiki/2005_Brazilian_Grand_Prix	
54	2006	2	2	Malaysian Grand Prix	2006-03-19	15:00:00	http://en.wikipedia.org/wiki/2006_Malaysian_Grand_Prix	
55	2006	3	1	Australian Grand Prix	2006-04-02	14:00:00	http://en.wikipedia.org/wiki/2006_Australian_Grand_Prix	
57	2006	5	20	European Grand Prix	2006-05-07	14:00:00	http://en.wikipedia.org/wiki/2006_European_Grand_Prix	
58	2006	6	4	Spanish Grand Prix	2006-05-14	14:00:00	http://en.wikipedia.org/wiki/2006_Spanish_Grand_Prix	
61	2006	9	7	Canadian Grand Prix	2006-06-25	13:00:00	http://en.wikipedia.org/wiki/2006_Canadian_Grand_Prix	
62	2006	10	19	United States Grand Prix	2006-07-02	14:00:00	http://en.wikipedia.org/wiki/2006_United_States_Grand_Prix	
63	2006	11	8	French Grand Prix	2006-07-16	14:00:00	http://en.wikipedia.org/wiki/2006_French_Grand_Prix	
64	2006	12	10	German Grand Prix	2006-07-30	14:00:00	http://en.wikipedia.org/wiki/2006_German_Grand_Prix	
65	2006	13	11	Hungarian Grand Prix	2006-08-06	14:00:00	http://en.wikipedia.org/wiki/2006_Hungarian_Grand_Prix	
66	2006	14	5	Turkish Grand Prix	2006-08-27	15:00:00	http://en.wikipedia.org/wiki/2006_Turkish_Grand_Prix	
70	2006	18	18	Brazilian Grand Prix	2006-10-22	14:00:00	http://en.wikipedia.org/wiki/2006_Brazilian_Grand_Prix	
36	2007	1	1	Australian Grand Prix	2007-03-18	03:00:00	http://en.wikipedia.org/wiki/2007_Australian_Grand_Prix	
37	2007	2	2	Malaysian Grand Prix	2007-04-08	07:00:00	http://en.wikipedia.org/wiki/2007_Malaysian_Grand_Prix	
46	2007	11	11	Hungarian Grand Prix	2007-08-05	12:00:00	http://en.wikipedia.org/wiki/2007_Hungarian_Grand_Prix	
18	2008	1	1	Australian Grand Prix	2008-03-16	04:30:00	http://en.wikipedia.org/wiki/2008_Australian_Grand_Prix	
19	2008	2	2	Malaysian Grand Prix	2008-03-23	07:00:00	http://en.wikipedia.org/wiki/2008_Malaysian_Grand_Prix	
22	2008	5	5	Turkish Grand Prix	2008-05-11	12:00:00	http://en.wikipedia.org/wiki/2008_Turkish_Grand_Prix	
23	2008	6	6	Monaco Grand Prix	2008-05-25	12:00:00	http://en.wikipedia.org/wiki/2008_Monaco_Grand_Prix	
24	2008	7	7	Canadian Grand Prix	2008-06-08	17:00:00	http://en.wikipedia.org/wiki/2008_Canadian_Grand_Prix	
25	2008	8	8	French Grand Prix	2008-06-22	12:00:00	http://en.wikipedia.org/wiki/2008_French_Grand_Prix	
26	2008	9	9	British Grand Prix	2008-07-06	12:00:00	http://en.wikipedia.org/wiki/2008_British_Grand_Prix	
28	2008	11	11	Hungarian Grand Prix	2008-08-03	12:00:00	http://en.wikipedia.org/wiki/2008_Hungarian_Grand_Prix	
32	2008	15	15	Singapore Grand Prix	2008-09-28	12:00:00	http://en.wikipedia.org/wiki/2008_Singapore_Grand_Prix	
34	2008	17	17	Chinese Grand Prix	2008-10-19	07:00:00	http://en.wikipedia.org/wiki/2008_Chinese_Grand_Prix	
1	2009	1	1	Australian Grand Prix	2009-03-29	06:00:00	http://en.wikipedia.org/wiki/2009_Australian_Grand_Prix	
2	2009	2	2	Malaysian Grand Prix	2009-04-05	09:00:00	http://en.wikipedia.org/wiki/2009_Malaysian_Grand_Prix	
3	2009	3	17	Chinese Grand Prix	2009-04-19	07:00:00	http://en.wikipedia.org/wiki/2009_Chinese_Grand_Prix	
4	2009	4	3	Bahrain Grand Prix	2009-04-26	12:00:00	http://en.wikipedia.org/wiki/2009_Bahrain_Grand_Prix	
6	2009	6	6	Monaco Grand Prix	2009-05-24	12:00:00	http://en.wikipedia.org/wiki/2009_Monaco_Grand_Prix	
8	2009	8	9	British Grand Prix	2009-06-21	12:00:00	http://en.wikipedia.org/wiki/2009_British_Grand_Prix	
9	2009	9	20	German Grand Prix	2009-07-12	12:00:00	http://en.wikipedia.org/wiki/2009_German_Grand_Prix	
10	2009	10	11	Hungarian Grand Prix	2009-07-26	12:00:00	http://en.wikipedia.org/wiki/2009_Hungarian_Grand_Prix	
14	2009	14	15	Singapore Grand Prix	2009-09-27	12:00:00	http://en.wikipedia.org/wiki/2009_Singapore_Grand_Prix	
15	2009	15	22	Japanese Grand Prix	2009-10-04	05:00:00	http://en.wikipedia.org/wiki/2009_Japanese_Grand_Prix	
16	2009	16	18	Brazilian Grand Prix	2009-10-18	16:00:00	http://en.wikipedia.org/wiki/2009_Brazilian_Grand_Prix	
17	2009	17	24	Abu Dhabi Grand Prix	2009-11-01	11:00:00	http://en.wikipedia.org/wiki/2009_Abu_Dhabi_Grand_Prix	
338	2010	2	1	Australian GP	2010-03-28	06:00:00	http://en.wikipedia.org/wiki/2010_Australian_Grand_Prix	
341	2010	5	4	Spanish GP	2010-05-09	12:00:00	http://en.wikipedia.org/wiki/2010_Spanish_Grand_Prix	
344	2010	8	7	Canadian GP	2010-06-13	16:00:00	http://en.wikipedia.org/wiki/2010_Canadian_Grand_Prix	
346	2010	10	9	British GP	2010-07-11	12:00:00	http://en.wikipedia.org/wiki/2010_British_Grand_Prix	
347	2010	11	10	German GP	2010-07-25	12:00:00	http://en.wikipedia.org/wiki/2010_German_Grand_Prix	
348	2010	12	11	Hungarian GP	2010-08-01	12:00:00	http://en.wikipedia.org/wiki/2010_Hungarian_Grand_Prix	
349	2010	13	13	Belgian GP	2010-08-29	12:00:00	http://en.wikipedia.org/wiki/2010_Belgian_Grand_Prix	
350	2010	14	14	Italian GP	2010-09-12	12:00:00	http://en.wikipedia.org/wiki/2010_Italian_Grand_Prix	
351	2010	15	15	Singapore GP	2010-09-26	12:00:00	http://en.wikipedia.org/wiki/2010_Singapore_Grand_Prix	
352	2010	16	22	Japanese GP	2010-10-10	06:00:00	http://en.wikipedia.org/wiki/2010_Japanese_Grand_Prix	
353	2010	17	35	Korean GP	2010-10-24	05:00:00	http://en.wikipedia.org/wiki/2010_Korean_Grand_Prix	
354	2010	18	18	Brazilian Grand Prix	2010-11-07	16:00:00	http://en.wikipedia.org/wiki/2010_Brazilian_Grand_Prix	
844	2011	4	5	Turkish Grand Prix	2011-05-08	12:00:00	http://en.wikipedia.org/wiki/2011_Turkish_Grand_Prix	
846	2011	6	6	Monaco Grand Prix	2011-05-29	12:00:00	http://en.wikipedia.org/wiki/2011_Monaco_Grand_Prix	
847	2011	7	7	Canadian Grand Prix	2011-06-12	17:00:00	http://en.wikipedia.org/wiki/2011_Canadian_Grand_Prix	
850	2011	10	20	German Grand Prix	2011-07-24	12:00:00	http://en.wikipedia.org/wiki/2011_German_Grand_Prix	
851	2011	11	11	Hungarian Grand Prix	2011-07-31	12:00:00	http://en.wikipedia.org/wiki/2011_Hungarian_Grand_Prix	
